Name,NumberValue,BooleanValue,TextValue,StringArray,NumberArray
String,int,boolean,string,String,int
UDP_HEARTBEAT_MS,200,,,,
UDP_DISCONNECTED_SECONDS,2,,,,
UDP_DESTRUCT_ON_INVALID_CONNECTION,,TRUE,,,
MAIN_MENU_PARALLAX,0,,,,
SHOW_MANA_FULL_AFTER_SECONDS,5,,,,
BACKGROUND_Y_SIZE,1120,,,,
BACKGROUND_Y_OFFSET,90,,,,
REPLAY_ENABLED,,TRUE,,,
REPLAY_BACKGROUND_Y_SIZE,1200,,,,
REPLAY_BACKGROUND_Y_OFFSET,250,,,,
REPLAY_BATTLE_END_HUD_DELAY_MILLIS,2700,,,,
REPLAY_SHOW_TOUCH_EVENTS,,TRUE,,,
REPLAY_SHOW_DRAG_EVENTS,,FALSE,,,
REPLAY_SKIP_TIME_ENABLED,,,,,
REPLAY_SKIP_TIME_INTERVAL_SECONDS,10,,,,
NPC_REPLAY_ENABLED,,,,,
SPELL_DRAG_NAME_Y_POS,-30,,,,
SHOW_NOT_ENOUGH_MANA_AFTER_FAILURES,1,,,,
LOCAL_NOTIFICATION_FREE_WORKERS_MINUTES,120,,,,
SPELL_DRAG_OBJECT_ALPHA,50,,,,
MIN_SPELL_COUNT_FOR_SORT_BUTTON,10,,,,
UNIT_SPEED_1,30,,,,
UNIT_SPEED_2,45,,,,
UNIT_SPEED_3,60,,,,
UNIT_SPEED_4,90,,,,
UNIT_SPEED_5,120,,,,
GAME_FACEBOOK_URL,,,,,
PAYING_USER_EMAIL_ID,249,,,,
GAME_CENTER_ACHIEVEMENTS_ENABLED,,TRUE,,,
GAMECENTER_REAUTHORIZE,,,,,
GAME_CENTER_CHALLENGES_ENABLED,,TRUE,,,
FAQ_URL,,,0,,
FORUMS_URL,,,0,,
LOW_GFX_DEVICES,,,,ipod1,
,,,,ipod2,
,,,,ipod3,
,,,,ipod4,
,,,,ipad1,
,,,,iphone1,
,,,,iphone2,
,,,,iphone3,
MED_GFX_DEVICES,,,,,
LOW_MEM_DEVICES,,,,ipod1,
,,,,ipod2,
,,,,ipod3,
,,,,ipod4,
,,,,ipad1,
,,,,iphone2,
MED_MEM_DEVICES,,,,ipad2,
LOW_GFX_DEVICES_ANDROID,,,,st25i,
,,,,GT-N7000,
,,,,GT-i8190N,
,,,,U8950,
,,,,SM-T211,
,,,,i9300,
,,,,i8190,
,,,,i9305,
,,,,i9301,
,,,,i8200,
,,,,g3812b,
,,,,I535,
,,,,I747,
,,,,L710,
,,,,T999,
,,,,T210,
,,,,P3210,
,,,,SC-06D,
,,,,SC-03E,
,,,,I939,
,,,,E210S,
,,,,E210L,
,,,,E210K,
,,,,I9303,
,,,,G730A,
,,,,G730W8,
,,,,M440S,
,,,,R530U,
,,,,S968C,
,,,,SGH-N064,
,,,,SGH-N035,
,,,,SCH-J021,
,,,,SCH-R530,
,,,,SCH-S960L,
,,,,I9308,
HIGH_MEMORY_ANDROID,820,,,,
MEDIUM_MEMORY_ANDROID,600,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL,48,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM,120,,,,
COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE,336,,,,
APP_RATE_XP_LEVEL,11,,,,
FEEDBACK_EMAIL,,,0,,
SECTOR_COMMAND_MESSAGE_INTERVAL_SECONDS,2,,,,
POPUP_BLUR_ENABLED,,TRUE,,,
POPUP_BLUR_PERCENT,170,,,,
POPUP_BLUR_ITERATIONS,4,,,,
MATCH_END_BLUR_PERCENT,120,,,,
MATCH_END_BLUR_ITERATIONS,4,,,,
MAX_SPELL_PENDING_TIME,1200,,,,
TAUNTS_ENABLED,,TRUE,,,
TAUNTS_MUTE_ENABLED,,TRUE,,,
TAUNTS_FULL_MUTE_ENABLED,,TRUE,,,
SHOW_TAUNT_TIME_SEC,4,,,,
SHOW_MATCHMAKING_TIME_TOLERANCE,3,,,,
ENABLE_FACEBOOK,,TRUE,,,
ENABLE_FACEBOOK_KUNLUN,,FALSE,,,
ENABLE_FACEBOOK_TENCENT,,FALSE,,,
ENABLE_GAMECENTER_FRIENDS,,TRUE,,,
SWITCH_CONFIRMATION_XP_LEVEL,4,,,,
PROMPT_GC_SWITCH_MIN_NPC_WINS,0,,,,
NO_DEPLOY_ZONE_COLOR,,,90900000,,
SHOP_BUY_ALL_CARDS_CONFIRMATION,,TRUE,,,
PAYMENT_LIMIT_CONFIRMATION_ENABLED,,TRUE,,,
PAYMENT_LIMIT_CONFIRMATION_USD,15000,,,,
PAYMENT_LIMIT_CONFIRMATION_TIME,15,,,,
CONFIRM_WORD_MAX_LENGTH,15,,,,
DISCONNECT_IN_APPS,,FALSE,,,
IN_APP_RETRY_LIMIT,4,,,,
RETRY_PURCHASES_IN_SHOP,,TRUE,,,
HELPSHIFT_ENABLED,,TRUE,,,
DISABLE_HELPSHIFT_CONTACT_US_FROM_NON_PAYING,,,,,
USE_HELPSHIFT_SDK_LANGUAGE,,TRUE,,,
EXTRA_HELPSHIFT_LANGUAGES,,,,,
HELPSHIFT_SHOW_CONTACT_UNTIL_EXP_LEVEL,2,,,,
SEND_GC_ACHIVEMENT_0_PROGRESS,,TRUE,,,
SEND_GC_ACHIVEMENT_PROGRESS_ONCE,,TRUE,,,
USE_GC_SEND_ALL_ACHIEVEMENTS,,TRUE,,,
SHOW_NOTIFICATION_FOR_DONATE,,TRUE,,,
KEEP_ALIVE_WARNING_MS,10000,,,,
PING_WARNING_MS,3500,,,,
MATCHMAKING_TIP_INTERVAL_SEC,15,,,,
ATTRIBUTION_MAT,,TRUE,,,
ATTRIBUTION_FB,,,,,
ATTRIBUTION_IAD,,TRUE,,,
APP_RATE_DIALOG_ENABLED,,TRUE,,,
PURCHASE_DIALOG_ENABLED,,TRUE,,,
PLAYER_ID_SHOW_ENABLED,,TRUE,,,
VIBRATE_AFTER_MATCHMAKING_SECONDS,0,,,,
TAUNT_LIMIT,100,,,,
NAME_CHANGE_START_LEVEL,4,,,,
ENABLE_NAME_CHANGE,,TRUE,,,
TAUNT_SOUND_COOLDOWN,3000,,,,
GOOGLE_ACHIEVEMENTS,,TRUE,,,
GOOGLE_ACHIEVEMENTS_KUNLUN,,FALSE,,,
GOOGLE_ACHIEVEMENTS_TENCENT,,FALSE,,,
ACCOUNT_CONFIRM_POPUP_CENTERED,,,,,
ENTER_NAME_POPUP_CENTERED,,,,,
CHALLENGE_POPUP_CENTERED,,TRUE,,,
SHADOW_BLUR_DISTANCE,170,,,,
CONNECT_IOS_TO_KUNLUN,,TRUE,,,
KUNLUN_SPLASH_MESSAGE,,,健康游戏公告：抵制不良游戏 拒绝盗版游戏 注意自我保护 谨防受骗上当 适度游戏益脑 沉迷游戏伤身 合理安排时间 享受健康生活,,
TOURNAMENT_TOGGLE_ENABLED,,,,,
TOURNAMENT_MODE_ENABLED,,TRUE,,,
USE_ARABIC_FALLBACK_FONT,,TRUE,,,
USE_JAPANESE_FALLBACK_FONT,,TRUE,,,
DISABLE_FB_IN_CHINA,,TRUE,,,
PEPPER_ENABLED,,FALSE,,,
SHOW_SEASON_END_POPUP_SEC_AFTER_HOME,5,,,,
PENDING_SPELL_RECEIVED_DELAY_MS,1000,,,,
CLOSE_TUTORIAL_POPUPS_BY_TAPPING,,TRUE,,,
CHAT_COMBINE_MESSAGE_MAX_TIME_DIFF_SEC,30,,,,
CHAT_COMBINE_MESSAGE_MAX_COUNT,5,,,,
CHAT_NEW_DIVIDER_ENABLED,,TRUE,,,
ADMIN_MESSAGE_BUTTON_ENABLED,,TRUE,,,
ADMIN_MESSAGES_ENABLED,,TRUE,,,
CACHE_MAX_EXTRA_SC_FILES,15,,,,
USE_STARTED_FROM_NOTIFICATION_ID,,TRUE,,,
GOOGLE_PLAY_LOGIN_ONLY_WHEN_NOT_LOGGED,,TRUE,,,
CLIP_GFX_BEHIND_BOTTOM_BAR,,,,,
USE_DASH_ANIMS,,TRUE,,,
PLAYER_INFO_SORT_SPELLS,,,,,
PLAYER_INFO_COPY_DECK_ENABLED,,TRUE,,,
PLAYER_INFO_CARD_SCALE,60,,,,
HIDE_BG_BEHIND_CREDITS_MENU,,TRUE,,,
HIDE_BG_BEHIND_ARENA_CHANGE_MENU,,TRUE,,,
HIDE_INVISIBLE_ILLEGAL_PLACE_RENDERER,,TRUE,,,
HIDE_INVISIBLE_UI,,TRUE,,,
LOW_GFX_SHOW_BASE_LAYER_OBJECTS,,TRUE,,,
SPECTATE_CHEER_BUTTON_COOLDOWN_SECONDS,8,,,,
SPECTATE_CHEER_MAX_CONFETTIS,20,,,,
SPECTATE_CHEER_MAX_CONFETTIS_2V2,40,,,,
AREA_DAMAGE_INDICATOR_DURATION_MS,400,,,,
TV_ARENAS,,,,Arena1,
,,,,Arena2,
,,,,Arena3,
,,,,Arena4,
,,,,Arena5,
,,,,Arena6,
,,,,Arena7,
,,,,Arena8,
,,,,Arena9,
,,,,Arena_L,
,,,,Arena_T,
TOURNAMENT_INGAME_NOTIFICATION_END_TIMES,,,,,5400
,,,,,3600
,,,,,1800
,,,,,1200
,,,,,600
,,,,,300
ENABLE_JUPITER_FRIENDS,,TRUE,,,
ENABLE_JUPITER,,TRUE,,,
ENABLE_JUPITER_ANDROID,,FALSE,,,
ENABLE_JUPITER_TENCENT,,TRUE,,,
JUPITER_IOS_CHECK_LANGUAGE_CODE,,TRUE,,,
SEND_ACCOUNT_SWITCHED_MESSAGE_FROM_CONFIRM_POPUP,,TRUE,,,
NAME_CHANGE_CONFIRM_CASE_SENSITIVE,,FALSE,,,
DONT_MOVE_OPEN_ID_MIN_NPC_WINS,2,,,,
LANDSCAPE_MODE_ENABLED,,FALSE,,,
GC_TENCENT_CONFIRMATION_XP_LEVEL,2,,,,
TENCENT_PROMPT_GC_SWITCH_MIN_NPC_WINS,0,,,,
DISABLE_TENCENT_AFTER_LOGIN,,FALSE,,,
RESET_STATICS_WHEN_CHANGING_ACCOUNT,,TRUE,,,
CHINESE_ANDROID_APP_STORE_LOGIN_FAILED_MESSAGE,,,此微信/QQ帐号已经关联了从其他安卓应用商店下载的相同游戏，不能再次关联。如果您希望使用该微信/QQ帐号重新开始游戏，请从游戏内联系Supercell玩家支持团队。,,
