Name,0
String,boolean
Richard Bangs,
John Cipriani,
Patrick Corander,
Niko Derome,
Jonathan Dower,
Stefan Engblom,
Visa Forsten,
Tommi Hakala,
David Hart,
Hrvoje Horbec,
Chih-Han Hsu,
Janne Juhola,
Rene Kivioja,
Rauli Laatikainen,
Lassi Leppinen,
Jani Lintunen,
Taneli Oksama,
Martin Schjøler,
Jarno Seppänen,
Timothy Smith,
Petri Styrman,
Antti Summala,
Wilhelm Tigerstedt,
Tibor Toth,
Jouni Utriainen,
Tuomas Volotinen,
Kustaa Vuori,
-,
Mikko Hokkanen,
Daniel Iosca,
Kim Jensen,
Mikko Lehtonen,
Lasse Louhento,
Antti Mattila,
Douglas Portugal,
Asko Puurula,
Ewan Thonger,
