"Name","Id","Channels","DurationMillis"
"String","Int","Int","Int"
"OvertimeStart",0,0,500
"CountdownStart",1,0,500
"60s_Left",2,0,500
"60s_LeftOvertime",3,0,500
"30s_Left",4,0,500
"Draw",5,0,500
"BlueLeftTowerDown",0,1,500
"BlueRightTowerDown",1,1,500
"BlueKingDown",2,1,500
"BlueWin",3,1,500
"BlueFireball",4,1,500
"BlueLightning",5,1,500
"BlueRocket",6,1,500
"BlueXbow",7,1,500
"RedLeftTowerDown",0,2,500
"RedRightTowerDown",1,2,500
"RedKingDown",2,2,500
"RedWin",3,2,500
"RedFireball",4,2,500
"RedLightning",5,2,500
"RedRocket",6,2,500
"RedXbow",7,2,500
