"Name","Rarity","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","CrownTowerDamagePercent","LoadFirstHit","StopTimeAfterAttack","StopTimeAfterSpecialAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","MultipleTargets","AllTargetsHit","Range","MinimumRange","SpecialMinRange","SpecialRange","SpecialLoadTime","SpecialReadyEffect","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","SpecialAttackInterval","BuffOnDamage","BuffOnDamageTime","StartingBuff","StartingBuffTime","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","LoopMoveEffect","SpawnEffect","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","ShadowCustom","ShadowCustomLow","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","FlyDirectPaths","FlyFromGround","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","MorphTime","MorphKeepTarget","AttackStartEffect","AttackStartEffectSpecial","DashImmuneToDamageTime","DashStartEffect","DashEffect","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","DashFilter","DashConstantTime","DashLandingTime","LandingEffect","DashMinRange","DashMaxRange","JumpSpeed","ContinuousEffect","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnProjectile","SpawnCharacterEffect","SpawnDeployBaseAnim","SpawnRadius","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnProjectile","DeathSpawnRadius","DeathSpawnMinRadius","SpawnAngleShift","DeathSpawnDeployTime","DeathSpawnPushback","DeathAreaEffect","DeathInheritIgnoreList","Kamikaze","KamikazeTime","KamikazeEffect","SpawnPathfindSpeed","SpawnPathfindEffect","SpawnPathfindMorph","SpawnPushback","SpawnPushbackRadius","SpawnAreaObject","SpawnAreaObjectLevelIndex","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamageLifeTime","VariableDamageTransitionTime","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","HideBeforeFirstHit","SpecialAttackWhenHidden","TargetedHitEffect","TargetedHitEffectSpecial","UpTimeMs","HideEffect","AppearEffect","AppearPushbackRadius","AppearPushback","AppearAreaObject","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","DeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","RotateAngleSpeed","DeployTimerDelay","RetargetAfterAttack","AttackShakeTime","VisualHitSpeed","Ability","Burst","BurstDelay","BurstKeepTarget","ActivationTime","AttackDashTime","LoopingFilter","BuildingTarget","SpawnConstPriority"
"string","string","int","int","int","int","int","int","int","int","int","int","boolean","int","int","string","string","int","int","boolean","int","int","int","int","int","string","boolean","boolean","int","int","int","int","int","string","string","string","int","boolean","int","string","int","string","int","string","string","string","string","string","boolean","string","int","string","string","string","string","boolean","string","boolean","int","int","int","int","int","string","string","int","boolean","int","int","int","int","string","int","int","string","int","boolean","int","boolean","boolean","string","int","int","string","string","boolean","string","int","boolean","string","string","int","string","string","int","int","int","int","int","string","int","int","string","int","int","int","string","int","int","int","int","int","int","string","string","string","string","int","int","string","string","int","int","int","int","boolean","string","boolean","boolean","int","string","int","string","string","int","int","string","int","string","string","int","int","int","int","boolean","boolean","int","int","string","boolean","int","int","int","int","int","string","string","string","string","string","string","string","string","int","boolean","boolean","int","boolean","boolean","string","string","int","string","string","int","int","string","int","int","int","boolean","int","int","int","int","string","boolean","int","string","int","int","int","int","string","string","string","string","string","string","string","int","int","boolean","int","int","string","int","int","boolean","int","int","string","boolean","boolean"
"Knight","Common",5500,1000,,60,660,1100,700,75,,,,,,,,,,,1000,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_knight.sc","Knight",,"Knight_enemy",,"true",,,"knight_hit",,"knight_die","knight_steps",,"knight_deploy",,85,85,,-10,35,,,,,98,500,6,,,,,"Medium",35,,,,,"filter_damage",,,,,,,,,"knight_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_SPELL_KNIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archer","Common",5500,1000,,60,120,1200,1100,,,,,,,"ArcherArrow",,,,,5000,,,,,,"true","true",,,,,,,"ArcherAttack",,,,,,,,,"sc/chr_archer.sc","archer1",,"archer1_enemy",,"true",,,,,"ArcherDie","ArcherSteps",,"ArcherDeploy",,75,75,,-15,25,,,,,87,500,3,,,,,"Small",-10,,,,,"filter_damage",,,,,,,,,"ArcherAttackStart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_ARCHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goblin","Common",5500,1000,,120,80,1100,900,50,,,,,,,,,,,500,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_goblin.sc","goblin1",,"goblin1_enemy",,"true",,,"goblins_hit",,"goblins_die","goblins_steps",,"goblins_deploy",,50,50,-5,5,35,,,,,100,500,2,,,,,"Small",,,,,,"filter_damage",,,,,,,,,"goblins_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,,"TID_CHARACTER_GOBLIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant","Rare",7500,1000,,45,1900,1500,1000,120,,,,,,,,,,,1250,,,,,,"true",,,,,,,,,,,"true",,,,,,"sc/chr_giant.sc","giant1",,"giant1_enemy",,"true",,,"giant_hit",,"giant_die","giant_steps",,"giant_deploy","true",85,80,,,25,,,,"true",100,750,18,,,,,"High",,,,,,"filter_damage_wobble",,,,,,,,,"giant_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,640,100,,,,,"TID_SPELL_GIANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,2000,,2000,,,,,,,,,,,,,,,,,,,,,,,,
"Pekka","Epic",5000,1000,,45,2600,1800,1300,510,,,,,,,,,,,750,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_pekka.sc","pekka",,"pekka_enemy",,"true",,,"pekka_hit",,"pekka_die","pekka_steps",,"pekka_deploy","true",80,80,,,35,,,,"true",106,750,18,,,,,"Medium",,,,,,"filter_damage_wobble",,,,,,,,,"pekka_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_SPELL_PEKKA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,20,,,,,,,,,,,,,,,,,,,,,,,
"Minion","Common",5500,1000,,90,90,1000,500,,,,,,,"MinionSpit",,,,,2000,,,,,,"true","true",,,,,,,"minion_attack",,,,,,,,,"sc/chr_minion.sc","minion1",,"minion1_enemy",,"true",,,,,"minion_die","minion_steps",,"minion_deploy",,85,-60,,20,,,,,,85,500,2,,,,,"Small",,,1500,,,"filter_damage_wobble",,,,,,,,,"minion_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_CHARACTER_MINION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balloon","Epic",7700,1000,,60,1050,3000,2800,600,,,,,,,,,,,100,,,,,,"true",,,,,,,,,,,"true",,,,,,"sc/chr_balloon.sc","balloon1",,"balloon1_enemy",,"true",,,"balloon_hit",,"balloon_die","balloon_steps",,"balloon_deploy",,85,50,,-10,15,,,,"true",100,500,6,,,,,"Medium",,,3000,,,"filter_damage_wobble",,,,,,,,,"balloon_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BalloonBomb",,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_SPELL_BALLOON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,2000,,,,,,,,,,,,,,,,,,,,,,,,
"Witch","Epic",5500,1000,,60,524,700,200,,,,,,,"WitchProjectile",,,,,5000,,,,,,"true","true",,,,,,,,,,,,,,,,"sc/chr_witch.sc","witch1",,"witch1_enemy",,"true",,,"witch_hit",,"witch_die","witch_steps",,"witch_deploy",,80,80,,,35,,,,,100,500,4,,,,,"Medium",,,,,,"filter_damage",,,,,,,,,"witch_attack_start",,,,,,,,,,,,,,,,,,1000,300,3,,6400,5,"Skeleton",,"witch_deploy_skeleton",,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,,"TID_SPELL_WITCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skeleton","Common",5500,1000,,90,32,1000,500,32,,,,,,,,,,,500,,,,,,"true",,,,,,,,,,,,,,,,,"sc/chr_skeleton.sc","skeleton1",,"skeleton1",,"true",,,"skeleton_hit",,"skeleton_die","skeleton_steps",,"skeleton_deploy",,50,50,-5,5,35,,,,,130,500,1,,,,,"Small",,,,,,"filter_damage",,,,,,,,,"skeleton_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,,"TID_CHARACTER_SKELETON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,,,,,,,,,,,,,,,,,,,,,,,,,,
