Name,CSVFiles,CSVRows,CustomNames
String,String,String,String
RED,,,ProductRed
SHOP,,,RumbleShop
,,,HolidayBundle
,,,ChineseNewYearBundle
CHALLENGE,csv_logic/survival_modes.csv,Gold,
,,Bronze,
,,BlindDeck,
,,DoubleElixir,
,,KingsCup,
,,DraftMode,
,,DraftMode2,
,,ThreeBridges,
,,HeroChallenge,
,,ElectroWiz,
,,DraftModeInsane,
,,Team,
,,RetroRoyale,
,,BattleRamClassic,
,,BattleRamGrand,
FRIENDLY,csv_logic/game_modes.csv,BlindDeck,
,,DoubleElixir_Friendly,
,,DraftMode,
SHOP_OFFER_DELAY,,,ShopOfferDelay
