"Name","TID","RequestTID","InProgressTID","CardLevelAdjustment","PlayerCount","DeckSelection","OvertimeSeconds","PredefinedDecks","ElixirProductionMultiplier","ElixirProductionOvertimeMultiplier","UseStartingElixir","StartingElixir","Heroes","ForcedDeckCards","Players","EventDeckSetLimit","ForcedDeckCardsUsingCardTheme","PrincessSkin","KingSkin","GivesClanScore"
"string","string","String","String","String","int","String","int","string","int","int","boolean","int","boolean","String","String","String","boolean","String","String","boolean"
"BlindDeck","TID_BLIND_DECK_CHALLENGE",,,"Friendly",,"Predefined",180,"BlindDeck1",,,,,,,"PvP",,,,,
,,,,,,,,"BlindDeck2",,,,,,,"PvP",,,,,
"DoubleElixir","TID_DOUBLE_ELIXIR_CHALLENGE",,,"Tournament",,"Collection",180,,200,,"true",0,,,"PvP",,,,,
"ThreeBridges","TID_THREE_BRIDGES_CHALLENGE",,,"Tournament",,"Collection",180,,,,,,,,"PvP",,,,,
"HeroChallenge","TID_HERO_CHALLENGE",,,"Tournament",,"Collection",180,,,,,,"true",,"PvP",,,,,
"ElectroWiz","TID_CHALLENGE_ELECTRO_WIZ",,,"Friendly",,"EventDeck",180,,,,,,,"ElectroWizard","PvP",,,,,
"DraftMode","TID_DRAFT_CHALLENGE","TID_REQUEST_DRAFT_1V1","TID_DRAFT_1V1_IN_PROGRESS","Friendly",,"Draft",180,,,,,,,,"PvP",,,,,
"Ladder",,,,"Ladder",,"Collection",60,,,,,,,,"PvP",,,,,
"Friendly",,,,"Friendly",,"Collection",180,,,,,,,,"PvP",,,,,
"Training",,,,"Ladder",,"Collection",60,,,,,,,,"PvP",,,,,
"Tournament",,,,"Tournament",,"Collection",180,,,,,,,,"PvP",,,,,
"Challenge",,,,"Tournament",,"Collection",180,,,,,,,,"PvP",,,,,
"DoubleElixir_Friendly","TID_DOUBLE_ELIXIR_CHALLENGE","TID_REQUEST_DOUBLE_ELIXIR_1V1","TID_DOUBLE_ELIXIR_1V1_IN_PROGRESS","Friendly",,"Collection",180,,200,,"true",0,,,"PvP",,,,,
"BattleRam","TID_CHALLENGE_ELECTRO_WIZ",,,"Friendly",,"EventDeck",180,,,,,,,,"PvP",,,,,
"DraftModeInsane","TID_GAMEMODE_DRAFT_INSANE","TID_REQUEST_DRAFTMODE_INSANE_1V1","TID_DRAFTMODE_INSANE_1V1_IN_PROGRESS","Friendly",,"Draft",180,,200,,"true",0,,,"PvP",,,,,
