"Name","LevelCount","RelativeLevel","MirrorRelativeLevel","CloneRelativeLevel","DonateCapacity","SortCapacity","DonateReward","DonateXP","GoldConversionValue","ChanceWeight","BalanceMultiplier","UpgradeExp","UpgradeMaterialCount","UpgradeCost","PowerLevelMultiplier","RefundGems","TID","CardBaseFileName","BigFrameExportName","CardBaseExportName","StackedCardExportName","CardRewardExportName","CastEffect","InfoTitleExportName","CardRarityBGExportName","SortOrder","Red","Green","Blue","AppearEffect","BuySound","LoopEffect","CardTxtBgFrameIdx","CardGlowInstanceName","SpellSelectedSound","SpellAvailableSound","RotateExportName","IconSWF","IconExportName"
"String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","int","int","int","int","String","String","String","int","String","String","String","String","String","String"
"Common",13,0,0,0,1,1,5,1,5,194,100,4,2,5,110,2,"TID_RARITY_COMMON","sc/ui.sc","spell_card_big","spell_card","spell_stack","spell_card_reward","SpellCasting","rarity_common","common_order",1,153,204,255,"openChest_get_common","sound_buy_card_common","openChest_loop_common",0,,,,"card_rotate_common_short","sc/ui.sc","icon_btn_card_common"
,,,,,,,,,,,,5,4,20,121,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,10,50,133,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,20,150,146,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,50,400,160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,100,1000,176,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,200,2000,193,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200,400,4000,212,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,400,800,8000,233,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,600,1000,20000,256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,800,2000,50000,281,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1600,5000,100000,309,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,100,0,339,,,,,,,,,,,,,,,,,,,,,,,,
"Rare",11,2,2,2,10,7,50,10,50,10,130,6,2,50,110,15,"TID_RARITY_RARE","sc/ui.sc","spell_card_rare_big","spell_card_rare","spell_stack_rare","spell_card_rare_reward","SpellCasting","rarity_rare","rare_order",2,255,204,102,"openChest_get_rare","sound_buy_card_rare","openChest_loop_rare",1,"card_glow_rare",,,"card_rotate_epic_short","sc/ui.sc","icon_btn_card_rare"
,,,,,,,,,,,,10,4,150,121,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,10,400,133,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,20,1000,146,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,50,2000,160,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,200,100,4000,176,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,400,200,8000,193,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,600,400,20000,212,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,800,800,50000,233,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1600,1000,100000,256,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,10,0,281,,,,,,,,,,,,,,,,,,,,,,,,
