"Name","IconSWF","IconExportName","GameMode","WinsIconExportName","Enabled","EventOnly","JoinCost","JoinCostResource","FreePass","MaxWins","MaxLoss","RewardCards","RewardGold","RewardSpellCount","RewardSpell","RewardSpellMaxCount","ItemExportName","ConfirmExportName","TID","CardTheme"
"string","String","String","String","String","boolean","boolean","int","string","int","int","int","int","int","int","String","int","String","String","string","String"
"Gold","sc/ui.sc","icon_tournament_gold","Challenge","tournament_open_wins_badge_gold","TRUE",,100,"Diamonds",,12,3,20,1400,,,,"tournament_item_open","popup_tournament_open_confirm","TID_PUBLIC_TOURNAMENT_GOLD",
,,,,,,,,,,,,30,1900,,,,,,,
,,,,,,,,,,,,50,2500,,,,,,,
,,,,,,,,,,,,85,3200,,,,,,,
,,,,,,,,,,,,130,4000,,,,,,,
,,,,,,,,,,,,185,5000,,,,,,,
,,,,,,,,,,,,250,6200,,,,,,,
,,,,,,,,,,,,330,7600,,,,,,,
,,,,,,,,,,,,420,9300,,,,,,,
,,,,,,,,,,,,530,11500,,,,,,,
,,,,,,,,,,,,670,14200,,,,,,,
,,,,,,,,,,,,860,17500,,,,,,,
,,,,,,,,,,,,1100,22000,,,,,,,
"Bronze","sc/ui.sc","icon_tournament_bronze","Challenge","tournament_open_wins_badge_bronze","TRUE",,10,"Diamonds",,12,3,2,130,,,,"tournament_item_open","popup_tournament_open_confirm","TID_PUBLIC_TOURNAMENT_BRONZE",
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"KingsCup","sc/ui.sc","icon_tournament_blind_deck","BlindDeck","tournament_open_wins_badge_blind","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_kings_cup","popup_tournament_blind_challenge_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"DoubleElixir","sc/ui.sc","icon_tournament_2x_elixir","DoubleElixir","tournament_open_wins_badge_bronze","FALSE","TRUE",50,"Diamonds",,12,3,10,700,,,,"tournament_item_kings_cup","popup_tournament_2x_elixir_challenge_confirm",,
,,,,,,,,,,,,15,950,,,,,,,
,,,,,,,,,,,,25,1250,,,,,,,
,,,,,,,,,,,,42,1600,,,,,,,
,,,,,,,,,,,,65,2000,,,,,,,
,,,,,,,,,,,,92,2500,,,,,,,
,,,,,,,,,,,,125,3100,,,,,,,
,,,,,,,,,,,,165,3800,,,,,,,
,,,,,,,,,,,,210,4500,,,,,,,
,,,,,,,,,,,,265,5600,,,,,,,
,,,,,,,,,,,,335,6900,,,,,,,
,,,,,,,,,,,,430,8500,,,,,,,
,,,,,,,,,,,,550,11000,,,,,,,
"BlindDeck","sc/ui.sc","icon_tournament_blind_deck","BlindDeck","tournament_open_wins_badge_blind","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_kings_cup","popup_tournament_blind_challenge_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"DraftMode","sc/ui.sc","icon_tournament_draft","DraftMode","tournament_open_wins_badge_draft","FALSE","TRUE",50,"Diamonds",,12,3,10,700,,,,"tournament_item_kings_cup","popup_tournament_open_confirm",,
,,,,,,,,,,,,15,950,,,,,,,
,,,,,,,,,,,,25,1250,,,,,,,
,,,,,,,,,,,,42,1600,,,,,,,
,,,,,,,,,,,,65,2000,,,,,,,
,,,,,,,,,,,,92,2500,,,,,,,
,,,,,,,,,,,,125,3100,,,,,,,
,,,,,,,,,,,,165,3800,,,,,,,
,,,,,,,,,,,,210,4500,,,,,,,
,,,,,,,,,,,,265,5600,,,,,,,
,,,,,,,,,,,,335,6900,,,,,,,
,,,,,,,,,,,,430,8500,,,,,,,
,,,,,,,,,,,,550,11000,,,,,,,
"ThreeBridges","sc/ui.sc","icon_tournament_blind_deck","ThreeBridges","tournament_open_wins_badge_blind","FALSE","TRUE",5,"Diamonds",1,12,3,2,130,,,,"tournament_item_kings_cup","popup_tournament_open_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"HeroChallenge","sc/ui.sc","icon_tournament_blind_deck","HeroChallenge","tournament_open_wins_badge_blind","FALSE","TRUE",100,"Diamonds",,12,3,20,1400,,,,"tournament_item_kings_cup","popup_tournament_open_confirm",,
,,,,,,,,,,,,30,1900,,,,,,,
,,,,,,,,,,,,50,2500,,,,,,,
,,,,,,,,,,,,85,3200,,,,,,,
,,,,,,,,,,,,130,4000,,,,,,,
,,,,,,,,,,,,185,5000,,,,,,,
,,,,,,,,,,,,250,6200,,,,,,,
,,,,,,,,,,,,330,7600,,,,,,,
,,,,,,,,,,,,420,9300,,,,,,,
,,,,,,,,,,,,530,11500,,,,,,,
,,,,,,,,,,,,670,14200,,,,,,,
,,,,,,,,,,,,860,17500,,,,,,,
,,,,,,,,,,,,1100,22000,,,,,,,
"ElectroWiz","sc/ui.sc","icon_tournament_card_release","ElectroWiz","tournament_open_wins_badge_legendary","FALSE","TRUE",100,"Diamonds",1,12,3,20,1400,0,"ElectroWizard",1,"tournament_item_open_card_release","popup_tournament_legendary_challenge_confirm",,"ElectroWizard"
,,,,,,,,,,,,30,1900,0,"ElectroWizard",,,,,
,,,,,,,,,,,,50,2500,0,"ElectroWizard",,,,,
,,,,,,,,,,,,85,3200,0,"ElectroWizard",,,,,
,,,,,,,,,,,,130,4000,0,"ElectroWizard",,,,,
,,,,,,,,,,,,185,5000,0,"ElectroWizard",,,,,
,,,,,,,,,,,,250,6200,0,"ElectroWizard",,,,,
,,,,,,,,,,,,330,7600,0,"ElectroWizard",,,,,
,,,,,,,,,,,,420,9300,0,"ElectroWizard",,,,,
,,,,,,,,,,,,530,11500,0,"ElectroWizard",,,,,
,,,,,,,,,,,,670,14200,0,"ElectroWizard",,,,,
,,,,,,,,,,,,860,17500,0,"ElectroWizard",,,,,
,,,,,,,,,,,,1100,22000,1,"ElectroWizard",,,,,
"DraftMode2","sc/ui.sc","icon_tournament_draft","DraftMode","tournament_open_wins_badge_draft","FALSE","TRUE",10,"Diamonds",,12,3,2,130,,,,"tournament_item_kings_cup","popup_tournament_open_confirm",,
,,,,,,,,,,,,3,180,,,,,,,
,,,,,,,,,,,,5,240,,,,,,,
,,,,,,,,,,,,8,310,,,,,,,
,,,,,,,,,,,,12,390,,,,,,,
,,,,,,,,,,,,17,480,,,,,,,
,,,,,,,,,,,,23,590,,,,,,,
,,,,,,,,,,,,30,720,,,,,,,
,,,,,,,,,,,,38,880,,,,,,,
,,,,,,,,,,,,48,1080,,,,,,,
,,,,,,,,,,,,61,1330,,,,,,,
,,,,,,,,,,,,78,1630,,,,,,,
,,,,,,,,,,,,100,2000,,,,,,,
"BattleRamClassic","sc/ui.sc","icon_tournament_card_release","BattleRam","tournament_open_wins_badge_legendary","FALSE","TRUE",10,"Diamonds",1,12,3,2,130,0,"BattleRam",,"tournament_item_open_card_release","popup_tournament_legendary_challenge_confirm",,
,,,,,,,,,,,,3,180,0,"BattleRam",,,,,
,,,,,,,,,,,,5,240,0,"BattleRam",,,,,
,,,,,,,,,,,,8,310,0,"BattleRam",,,,,
,,,,,,,,,,,,12,390,0,"BattleRam",,,,,
,,,,,,,,,,,,17,480,0,"BattleRam",,,,,
,,,,,,,,,,,,23,590,1,"BattleRam",,,,,
,,,,,,,,,,,,30,720,2,"BattleRam",,,,,
,,,,,,,,,,,,38,880,2,"BattleRam",,,,,
,,,,,,,,,,,,48,1080,3,"BattleRam",,,,,
,,,,,,,,,,,,61,1330,3,"BattleRam",,,,,
,,,,,,,,,,,,78,1630,4,"BattleRam",,,,,
,,,,,,,,,,,,100,2000,5,"BattleRam",,,,,
"BattleRamGrand","sc/ui.sc","icon_tournament_card_release","BattleRam","tournament_open_wins_badge_legendary","FALSE","TRUE",100,"Diamonds",0,12,3,20,1400,0,"BattleRam",,"tournament_item_open_card_release","popup_tournament_legendary_challenge_confirm",,
,,,,,,,,,,,,30,1900,0,"BattleRam",,,,,
,,,,,,,,,,,,50,2500,0,"BattleRam",,,,,
,,,,,,,,,,,,85,3200,0,"BattleRam",,,,,
,,,,,,,,,,,,130,4000,0,"BattleRam",,,,,
