"Name","TID","TauntMenu","FileName","ExportName","IconExportName","BtnExportName","Sound"
"String","String","Boolean","string","string","string","string","string"
"Taunt1","TID_EMOTE1","TRUE",,,,"taunt_btn_01",
"Taunt2","TID_EMOTE2","TRUE",,,,"taunt_btn_02",
"Taunt3","TID_EMOTE3","TRUE",,,,"taunt_btn_03",
"Taunt4","TID_EMOTE4","TRUE",,,,"taunt_btn_04",
"Taunt5","TID_EMOTE5","TRUE",,,,"taunt_btn_05",
"Taunt6","TID_EMOTE6","TRUE",,,,"taunt_btn_06",
"NPC1_Start","TID_NPC1_TAUNT_START",,,,,,
"NPC1_Tower","TID_NPC1_TAUNT_TOWER",,,,,,
"NPC1_Deploy","TID_NPC1_TAUNT_DEPLOY",,,,,,
"NPC1_Attack","TID_NPC1_TAUNT_ATTACK",,,,,,
"NPC2_Start","TID_NPC2_TAUNT_START",,,,,,
"NPC2_Tower","TID_NPC2_TAUNT_TOWER",,,,,,
"NPC3_Start","TID_NPC3_TAUNT_START",,,,,,
"NPC3_Tower","TID_NPC3_TAUNT_TOWER",,,,,,
"NPC4_Start","TID_NPC4_TAUNT_START",,,,,,
"NPC4_Tower","TID_NPC4_TAUNT_TOWER",,,,,,
"NPC16_Start","TID_NPC16_TAUNT_START",,,,,,
"TauntGfx1",,"TRUE","sc/ui.sc","sticker_thumbs_anim","sticker_thumbs_icon","emoji_btn_01","sound_king_congratulate"
"TauntGfx2",,"TRUE","sc/ui.sc","sticker_angry_anim","sticker_angry_icon","emoji_btn_02","sound_king_mad"
"TauntGfx3",,"TRUE","sc/ui.sc","sticker_cry_anim","sticker_cry_icon","emoji_btn_03","sound_king_crying"
"TauntGfx4",,"TRUE","sc/ui.sc","sticker_lol_anim","sticker_lol_icon","emoji_btn_04","sound_king_happy"
