"Name","TID","NotBeenInClan","NotBeenInTournament","NotCreatedTournament","MinNpcWins","MaxNpcWins","MinArena","MaxArena","MinTrophies","MaxTrophies","MinExpLevel","MaxExpLevel","iOSTID","AndroidTID"
"String","String","boolean","boolean","boolean","int","int","int","int","int","int","int","int","String","String"
"welcome message","TID_HINT_WELCOME",,,,,6,,,,,,,,
"winning condition1","TID_HINT_WINNING_CONDITION1",,,,2,,,1,,,,,,
"winning condition2","TID_HINT_WINNING_CONDITION2",,,,2,,,1,,,,,,
"elixir basics1","TID_HINT_ELIXIR_BASICS1",,,,4,,,1,,,,,,
"elixir basics2","TID_HINT_ELIXIR_BASICS2",,,,4,,,1,,,,,,
"elixir basics3","TID_HINT_ELIXIR_BASICS3",,,,4,,,1,,,,,,
"exp level1","TID_HINT_EXP_LEVEL1",,,,,,2,3,,,,,,
"exp level2","TID_HINT_EXP_LEVEL2",,,,,,2,3,,,,,,
"battle basics1","TID_HINT_BATTLE_BASICS1",,,,,,2,3,,,,,,
"battle basics2","TID_HINT_BATTLE_BASICS2",,,,,,2,3,,,,,,
"join clan","TID_HINT_JOIN_CLAN","TRUE",,,,,,,,,3,,,
"tv royale","TID_HINT_TV_ROYALE",,,,,,1,3,,,,,,
"arrows","TID_HINT_ARROWS",,,,6,,,2,,,,,,
"giant","TID_HINT_GIANT",,,,6,,,2,,,,,,
"knight and archers","TID_HINT_KIGHT_AND_ARCHERS",,,,,,1,1,,,,,,
"area damage","TID_HINT_AREA_DAMAGE",,,,,,2,3,,,,,,
"free chest","TID_HINT_FREE_CHEST",,,,,,2,3,,,,,,
"match duration","TID_HINT_MATCH_DURATION",,,,,,1,3,,,,,,
"overtime","TID_HINT_OVERTIME",,,,,,1,3,,,,,,
"card types","TID_HINT_CARD_TYPES",,,,,,2,3,,,,,,
"card rarities","TID_HINT_CARD_RARITIES",,,,,,1,7,,,,,,
"deck basics1","TID_HINT_DECK_BASICS1",,,,,,2,3,,,,,,
"deck basics2","TID_HINT_DECK_BASICS2",,,,,,1,1,,,,,,
"achievements","TID_HINT_ACHIEVEMENT_GEMS",,,,,,,,,,3,6,,
"clan rewards","TID_HINT_DONATE_REWARDS",,,,,,,,,,3,6,,
"king activation","TID_HINT_KING_ACTIVATION",,,,,,2,4,,,,,,
"king daughters","TID_HINT_KING_DAUGHTERS",,,,,,2,3,,,,,,
"story1","TID_HINT_STORY1",,,,,,3,4,,,,,,
"building lifetime","TID_HINT_BUILDING_LIFETIME",,,,,,2,4,,,,,,
"crown towers","TID_HINT_TOWER_TARGETING",,,,,,2,3,,,,,,
"building targeting","TID_HINT_BUILDINGS",,,,,,2,3,,,,,,
"common max level","TID_HINT_COMMON_MAX_LEVEL",,,,,,,,,,8,,,
"rare max level","TID_HINT_RARE_MAX_LEVEL",,,,,,,,,,8,,,
"epic max level","TID_HINT_EPIC_MAX_LEVEL",,,,,,,,,,8,,,
"card upgrades","TID_HINT_CARD_UPGRADES",,,,,,1,2,,,,,,
"card unlocks","TID_HINT_CARD_UNLOCKS",,,,,,2,3,,,,,,
"card shop","TID_HINT_SHOP_CYCLE",,,,,,1,4,,,,,,
"chest basics1","TID_HINT_CHEST_BASICS1",,,,,,2,4,,,,,,
"chest basics2","TID_HINT_CHEST_BASICS2",,,,,,2,6,,,,,,
"chest basics3","TID_HINT_CHEST_BASICS3",,,,,,2,4,,,,,,
"chest basics4","TID_HINT_CHEST_BASICS4",,,,,,2,4,,,,,,
"chest_basics5","TID_HINT_CHEST_BASICS5",,,,,,3,6,,,,,,
"matchmaking","TID_HINT_MATCHMAKING",,,,,,2,4,,,,,,
"bomb tower","TID_HINT_BOMB_TOWER",,,,,,2,3,,,,,,
"tank1","TID_HINT_TANK1",,,,,,2,3,,,,,,
"tank2","TID_HINT_TANK2",,,,,,2,3,,,,,,
"prince","TID_HINT_PRINCE",,,,,,2,3,,,,,,
"tesla","TID_HINT_BATTLE_TESLA",,,,,,4,5,,,,,,
"deploy area","TID_HINT_DEPLOY_AREA",,,,,,2,3,,,,,,
"taunts","TID_HINT_TAUNTS",,,,,,2,3,,,,,,
"three crowns","TID_HINT_THREE_CROWNS",,,,,,3,5,,,,,,
"balloon","TID_HINT_BALLOON",,,,,,2,4,,,,,,
"double elixir","TID_HINT_DOUBLE_ELIXIR",,,,,,2,3,,,,,,
"huts","TID_HINT_HUTS",,,,,,2,3,,,,,,
"tombstone","TID_HINT_TOMBSTONE",,,,,,2,3,,,,,,
"rage","TID_HINT_RAGE",,,,,,3,5,,,,,,
"direct damage","TID_HINT_DIRECT_DAMAGE",,,,,,3,4,,,,,,
"elixir basics4","TID_HINT_MAX_ELIXIR",,,,,,2,3,,,,,,
"starting hand","TID_HINT_STARTING_HAND",,,,,,2,3,,,,,,
"crown chest","TID_HINT_CROWN_CHEST",,,,,,2,4,,,,,,
"pro1","TID_HINT_BATTLE_PRO1",,,,,,3,,,,,,,
"pro2","TID_HINT_BATTLE_PRO2",,,,,,3,,,,,,,
"pro3","TID_HINT_BATTLE_PRO3",,,,,,5,,,,,,,
"pro4","TID_HINT_BATTLE_PRO4",,,,,,3,5,,,,,,
"pro5","TID_HINT_BATTLE_PRO5",,,,,,5,,,,,,,
"targeting","TID_HINT_TARGETING",,,,,,3,5,,,,,,
"inferno","TID_HINT_INFERNO",,,,,,4,5,,,,,,
"giant skeleton","TID_HINT_GIANT_SKELETON",,,,,,2,4,,,,,,
"epic sunday","TID_HINT_EPIC_SUNDAY",,,,,,2,5,,,,,,
"gems from chests","TID_HINT_GEMS_FROM_CHESTS",,,,,,2,5,,,,,,
"hog rider","TID_HINT_HOG_RIDER",,,,,,4,,,,,,,
"golem1","TID_HINT_GOLEM1",,,,,,6,,,,,,,
"golem2","TID_HINT_GOLEM2",,,,,,6,,,,,,,
"golem3","TID_HINT_GOLEM3",,,,,,6,,,,,,,
"pekkas","TID_HINT_PEKKAS",,,,,,2,6,,,,,,
"trophy count","TID_HINT_TROPHY_COUNT",,,,,,3,5,,,,,,
"lightning","TID_HINT_LIGHTNING",,,,,,2,4,,,,,,
"bomber","TID_HINT_BOMBER",,,,,,1,2,,,,,,
"pekka","TID_HINT_PEKKA",,,,,,4,,,,,,,
"wizard","TID_HINT_WIZARD",,,,,,5,,,,,,,
"friendly battles1","TID_HINT_FRIENDLY_BATTLES1",,,,,,,,,,3,,,
"friendly battles2","TID_HINT_FRIENDLY_BATTLES2",,,,,,,,,,3,,,
"friendly battles3","TID_HINT_FRIENDLY_BATTLES3",,,,,,,,,,3,,,
"friendly battles4","TID_HINT_FRIENDLY_BATTLES4",,,,,,,,,,3,,,
"tourney battles1","TID_HINT_TOURNEY_BATTLES1",,,,,,,,,,8,,,
"tourney battles2","TID_HINT_TOURNEY_BATTLES2",,,,,,,,,,8,,,
"legendary chest1","TID_HINT_CHEST_LEGENDARY1",,,,,,,,1400,,,,,
"legendary chest2","TID_HINT_CHEST_LEGENDARY2",,,,,,,,2000,,,,,
"super magical chest1","TID_HINT_CHEST_SUPER_MAGICAL1",,,,,,4,,,,,,,
"super magical chest2","TID_HINT_CHEST_SUPER_MAGICAL2",,,,,,,,400,,,,,
"giant chest1","TID_HINT_CHEST_GIANT1",,,,,,2,,,,,,,
"giant chest2","TID_HINT_CHEST_GIANT2",,,,,,2,,,,,,,
