"Name","FileName","Volume","Loop","PlayCount","FadeOutTimeSec","DurationSec"
"String","String","int","boolean","int","int","int"
"BattleMusic","music/2min_loop_battle_01.ogg",50,"true",,,
,"music/2min_loop_battle_02.ogg",50,"true",,,
,"music/2min_loop_battle_03.ogg",50,"true",,,
"MenuMusic","music/menu_03.ogg",70,,2,30,96
,"music/wizmen04.ogg",70,,2,30,96
,"music/new_menu_01.ogg",70,,2,30,96
"TrainingArena","music/tutorial_2m_arena_forest_amb_01.ogg",50,"true",,,
"60sec_training","music/60secs_training_Arena_01.ogg",65,,,,
"Sudden_death","music/sudden_death_01.ogg",60,"true",,,
"Pre_result","music/scroll_preresult_loop_01.ogg",80,,,,
"Win","music/scroll_win_02.ogg",95,,,,
"Lose","music/scroll_lose_01.ogg",85,,,,
"Draw","music/scroll_draw_01.ogg",85,,,,
"Post_result_loop","music/scroll_post_jingle_loop_01.ogg",50,"true",,,
"60sec_loop","music/60_sec_music_loop_01.ogg",55,,,,
"30sec_loop","music/30_sec_music_loop_01.ogg",60,,,,
