" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_LANGUAGE_LOCALIZED_NAME","English","Français","Deutsch","Español","Italiano","Nederlands","Norsk","Türkçe","日本語","한국어","Русский","العربية","Português","简体中文","繁體中文","فارسی","Bahasa Indonesia","Bahasa Melayu"
"TID_LOADING","Loading...","Chargement...","Laden ...","Cargando...","Caricamento...","Laden...","Laster inn ...","Açılıyor...","ロード中...","불러오는 중","Загрузка...","يتم التحميل...","Carregando...","正在载入...","正在載入...","در حال بارگیری...","Memuat...","Memuat..."
"TID_TIME_M_S","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>.<S>","<M>:<S>","<M>：<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>","<M>:<S>"
"TID_TAB_BATTLE","Battle","Combattre","Kämpfen","Batalla","Battaglia","Vechten","Kamp","Savaş","バトル開始","전투","В бой","معركة","Batalha","对战","對戰","نبرد","Tempur","Pertempuran"
"TID_TAB_SPELLS","Cards","Cartes","Karten","Cartas","Carte","Kaarten","Kort","Kartlar","カード","카드","Карты","بطاقات","Cartas","卡牌","卡牌","کارت‌ها","Kartu","Kad"
"TID_TAB_SOCIAL","Social","Social","Community","Social","Social","Sociaal","Sosialt","Sosyal","ソーシャル","소셜","Общение","اجتماعي","Social","社交","社交","اجتماعی","Sosial","Sosial"
"TID_TAB_SHOP","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Dükkan","ショップ","상점","Магазин","المتجر","Loja","商店","商店","فروشگاه","Toko","Kedai"
"TID_TAB_FEED","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","TV Royale","クラロワTV","로얄 TV","TV Royale","TV Royale","TV Royale","皇室TV","皇室TV","TV Royale","TV Royale","TV Diraja"
"TID_TAB_TOURNAMENT","Tournaments","Tournois","Turniere","Torneos","Tornei","Toernooien","Turneringer","Turnuvalar","大会","토너먼트","Турниры","بطولات","Torneios","锦标赛","聯賽","مسابقه‌ها","Turnamen","Pertandingan"
"TID_BUTTON_CLOSE","Close","Fermer","Schließen","Cerrar","Chiudi","Sluiten","Lukk","Kapat","閉じる","닫기","Закрыть","إغلاق","Fechar","关闭","關閉","بستن","Tutup","Tutup"
"TID_BUTTON_DONATE","Donate","Donner","Spenden","Donar","Dona","Doneren","Gi bort","Bağış Yap","寄付","지원","Пожертвовать","تبرع","Doar","捐赠","捐贈","اهدا","Sumbang","Derma"
"TID_TIME_DAYS","d","j","T","d","g","d","d","g","日","일","д.","يوم","d","天","天","روز","h","h"
"TID_TIME_HOURS","h","h","h","h","h","u","t","sa","時間","시간","ч.","ساعة","h","小时","小時","ساعت","j","j"
"TID_TIME_MINS","min","min","min","min","min","min","min","dk","分","분","м.","دقيقة","min","分钟","分鐘","دقیقه","mnt","min"
