"Name","Level","TID","InfoTID","Action","ActionCount","ExpReward","DiamondReward","SortIndex","Hidden","AndroidID","Type"
"String","int","String","String","String","int","int","int","int","Boolean","String","String"
"com.supercell.scroll.teamplayer",2,"TID_ACHIEVEMENT_TITLE_CLAN","TID_ACHIEVEMENT_INFO_CLAN","jointeam",1,10,100,1,,"CgkI9Yit2rYREAIQAQ","jointeam"
"com.supercell.scroll.donate",0,"TID_ACHIEVEMENT_TITLE_DONATE","TID_ACHIEVEMENT_INFO_DONATE","donate",25,5,3,2,,"CgkI9Yit2rYREAIQAg","donate"
"com.supercell.scroll.donate2",1,"TID_ACHIEVEMENT_TITLE_DONATE","TID_ACHIEVEMENT_INFO_DONATE","donate",250,10,5,3,,"CgkI9Yit2rYREAIQAw","donate"
"com.supercell.scroll.donate3",2,"TID_ACHIEVEMENT_TITLE_DONATE","TID_ACHIEVEMENT_INFO_DONATE","donate",2500,20,10,4,,"CgkI9Yit2rYREAIQBA","donate"
"com.supercell.scroll.reacharena",0,"TID_ACHIEVEMENT_TITLE_REACHARENA","TID_ACHIEVEMENT_INFO_REACHARENA","reacharena",2,5,3,8,,"CgkI9Yit2rYREAIQBQ","reacharena"
"com.supercell.scroll.reacharena2",1,"TID_ACHIEVEMENT_TITLE_REACHARENA","TID_ACHIEVEMENT_INFO_REACHARENA","reacharena",4,10,5,9,,"CgkI9Yit2rYREAIQBg","reacharena"
"com.supercell.scroll.reacharena3",2,"TID_ACHIEVEMENT_TITLE_REACHARENA","TID_ACHIEVEMENT_INFO_REACHARENA","reacharena",6,20,10,10,,"CgkI9Yit2rYREAIQBw","reacharena"
"com.supercell.scroll.cards",0,"TID_ACHIEVEMENT_TITLE_CARDS","TID_ACHIEVEMENT_INFO_CARDS","findcard",20,5,3,11,,"CgkI9Yit2rYREAIQCA","findcard"
"com.supercell.scroll.cards2",1,"TID_ACHIEVEMENT_TITLE_CARDS","TID_ACHIEVEMENT_INFO_CARDS","findcard",30,10,5,12,,"CgkI9Yit2rYREAIQCQ","findcard"
"com.supercell.scroll.cards3",2,"TID_ACHIEVEMENT_TITLE_CARDS","TID_ACHIEVEMENT_INFO_CARDS","findcard",40,20,10,13,,"CgkI9Yit2rYREAIQCg","findcard"
"com.supercell.scroll.watchtv",2,"TID_ACHIEVEMENT_TITLE_TV","TID_ACHIEVEMENT_INFO_TV","watchtv",1,5,5,14,,"CgkI9Yit2rYREAIQCw","watchtv"
"com.supercell.scroll.tournament",0,"TID_ACHIEVEMENT_TITLE_TOURNAMENT","TID_ACHIEVEMENT_INFO_TOURNAMENT","tournament",1000,10,10,15,,"CgkI9Yit2rYREAIQDQ","tournament"
"com.supercell.scroll.tournament2",1,"TID_ACHIEVEMENT_TITLE_TOURNAMENT","TID_ACHIEVEMENT_INFO_TOURNAMENT","tournament",20000,20,20,16,,"CgkI9Yit2rYREAIQDg","tournament"
"com.supercell.scroll.tournament3",2,"TID_ACHIEVEMENT_TITLE_TOURNAMENT","TID_ACHIEVEMENT_INFO_TOURNAMENT","tournament",500000,50,30,17,,"CgkI9Yit2rYREAIQDw","tournament"
"com.supercell.scroll.tournamentcreate",0,"TID_ACHIEVEMENT_TITLE_TOURNAMENT_CREATE","TID_ACHIEVEMENT_INFO_TOURNAMENT_CREATE_ONE","tournamenthost",1,50,100,18,,"CgkI9Yit2rYREAIQEA","tournamenthost"
"com.supercell.scroll.tournamentcreate2",1,"TID_ACHIEVEMENT_TITLE_TOURNAMENT_CREATE","TID_ACHIEVEMENT_INFO_TOURNAMENT_CREATE_MULTIPLE","tournamenthost",10,50,500,19,,"CgkI9Yit2rYREAIQEQ","tournamenthost"
"com.supercell.scroll.tournamentcreate3",2,"TID_ACHIEVEMENT_TITLE_TOURNAMENT_CREATE","TID_ACHIEVEMENT_INFO_TOURNAMENT_CREATE_MULTIPLE","tournamenthost",50,50,500,20,,"CgkI9Yit2rYREAIQEg","tournamenthost"
"com.supercell.scroll.jointournament",2,"TID_ACHIEVEMENT_TITLE_JOIN_TOURNAMENT","TID_ACHIEVEMENT_INFO_JOIN_TOURNAMENT","jointournament",1,5,5,21,,"CgkI9Yit2rYREAIQEw","jointournament"
"com.supercell.scroll.winstreak",0,"TID_ACHIEVEMENT_TITLE_WINSTREAK","TID_ACHIEVEMENT_INFO_WINSTREAK","winstreak",4,5,5,22,,"CgkI9Yit2rYREAIQFA","winstreak"
"com.supercell.scroll.winstreak2",1,"TID_ACHIEVEMENT_TITLE_WINSTREAK","TID_ACHIEVEMENT_INFO_WINSTREAK","winstreak",8,10,20,23,,"CgkI9Yit2rYREAIQFQ","winstreak"
"com.supercell.scroll.winstreak3",2,"TID_ACHIEVEMENT_TITLE_WINSTREAK","TID_ACHIEVEMENT_INFO_WINSTREAK","winstreak",12,20,100,24,,"CgkI9Yit2rYREAIQFg","winstreak"
"com.supercell.scroll.friendlybattle",0,"TID_ACHIEVEMENT_TITLE_FRIENDLY_BATTLE","TID_ACHIEVEMENT_INFO_FRIENDLY_BATTLE","friendlybattle",1,50,5,25,,"CgkI9Yit2rYREAIQFw","friendlybattle"
"com.supercell.scroll.friendlybattle2",1,"TID_ACHIEVEMENT_TITLE_FRIENDLY_BATTLE","TID_ACHIEVEMENT_INFO_FRIENDLY_BATTLE","friendlybattle",5,50,10,26,,"CgkI9Yit2rYREAIQGA","friendlybattle"
"com.supercell.scroll.friendlybattle3",2,"TID_ACHIEVEMENT_TITLE_FRIENDLY_BATTLE","TID_ACHIEVEMENT_INFO_FRIENDLY_BATTLE","friendlybattle",10,50,25,27,,"CgkI9Yit2rYREAIQGQ","friendlybattle"
"com.supercell.scroll.survivalevents",0,"TID_ACHIEVEMENT_TITLE_SURVIVAL_EVENT","TID_ACHIEVEMENT_INFO_SURVIVAL_EVENT","survivalevent",1,50,5,28,,"CgkI9Yit2rYREAIQGg","survivalevent"
"com.supercell.scroll.survivalevents2",1,"TID_ACHIEVEMENT_TITLE_SURVIVAL_EVENT","TID_ACHIEVEMENT_INFO_SURVIVAL_EVENT","survivalevent",3,100,10,29,,"CgkI9Yit2rYREAIQGw","survivalevent"
"com.supercell.scroll.survivalevents3",2,"TID_ACHIEVEMENT_TITLE_SURVIVAL_EVENT","TID_ACHIEVEMENT_INFO_SURVIVAL_EVENT","survivalevent",5,200,25,30,,"CgkI9Yit2rYREAIQHA","survivalevent"
"com.supercell.scroll.donatetwo",0,"TID_ACHIEVEMENT_TITLE_DONATE_2","TID_ACHIEVEMENT_INFO_DONATE","donate",5000,100,30,5,,"CgkI9Yit2rYREAIQHQ","donate2"
"com.supercell.scroll.donatetwo2",1,"TID_ACHIEVEMENT_TITLE_DONATE_2","TID_ACHIEVEMENT_INFO_DONATE","donate",10000,200,50,6,,"CgkI9Yit2rYREAIQHg","donate2"
