"Name","TID","SubtitleTID","Arena","ChestArena","TvArena","IsInUse","TrainingCamp","PVEArena","TrophyLimit","DemoteTrophyLimit","SeasonTrophyReset","ChestRewardMultiplier","ChestShopPriceMultiplier","RequestSize","MaxDonationCountCommon","MaxDonationCountRare","MaxDonationCountEpic","IconSWF","IconExportName","MainMenuIconExportName","SmallIconExportName","MatchmakingMinTrophyDelta","MatchmakingMaxTrophyDelta","MatchmakingMaxSeconds","PvpLocation","TeamVsTeamLocation","DailyDonationCapacityLimit","BattleRewardGold","ReleaseDate","SeasonRewardChest"
"string","string","string","Int","string","string","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","string","string","string","string","int","int","int","String","String","int","int","String","String"
"TrainingCamp","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,"TrainingCamp","TrainingCamp","TRUE","TRUE",,0,0,,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00","arena_00",,0,100,60,"TrainingCamp",,60,5,,
"Arena1","TID_ARENA1","TID_INFO_ARENA1",1,"Arena1","Arena1","TRUE",,,0,0,,100,100,10,1,1,1,"sc/ui_arena.sc","arena_01","arena_01",,20,100,60,"PvP_goblin","TeamVsTeam_goblin",60,5,,
"Arena2","TID_ARENA2","TID_INFO_ARENA2",2,"Arena2","Arena2","TRUE",,,400,350,,135,130,10,2,1,1,"sc/ui_arena.sc","arena_02","arena_02",,40,100,60,"PvP_bone","TeamVsTeam_bone",60,7,,
"Arena3","TID_ARENA3","TID_INFO_ARENA3",3,"Arena3","Arena3","TRUE",,,800,750,,170,160,10,2,1,1,"sc/ui_arena.sc","arena_03","arena_03",,40,100,60,"PvP_barbarian","TeamVsTeam_barbarian",60,9,,
"Arena4","TID_ARENA4","TID_INFO_ARENA4",4,"Arena4","Arena4","TRUE",,,1100,1050,,200,180,20,4,1,1,"sc/ui_arena.sc","arena_04","arena_04",,40,100,60,"PvP_dark","TeamVsTeam_dark",120,11,,
"Arena5","TID_ARENA5","TID_INFO_ARENA5",5,"Arena5","Arena5","TRUE",,,1400,1350,,230,200,20,4,1,1,"sc/ui_arena.sc","arena_05","arena_05",,40,100,60,"PvP_spell","TeamVsTeam_spell",120,12,,
"Arena6","TID_ARENA6","TID_INFO_ARENA6",6,"Arena6","Arena6","TRUE",,,1700,1650,,260,220,20,4,1,1,"sc/ui_arena.sc","arena_06","arena_06",,40,100,60,"PvP_builder","TeamVsTeam_builder",120,14,,
"Arena_L","TID_ARENA_L","TID_INFO_ARENA_L",10,"Arena_L","Arena_L","TRUE",,,3000,2950,,380,300,40,8,1,1,"sc/ui_arena.sc","arena_legendary","arena_legendary",,40,200,60,"PvP_legendary","TeamVsTeam_legendary",240,20,,
"Arena7","TID_ARENA7","TID_INFO_ARENA7",7,"Arena7","Arena7","TRUE",,,2000,1950,,290,240,30,6,1,1,"sc/ui_arena.sc","arena_07","arena_07",,40,100,60,"PvP_royal","TeamVsTeam_royal",180,15,,
"Arena8","TID_ARENA8","TID_INFO_ARENA8",8,"Arena8","Arena8","TRUE",,,2300,2250,,320,260,30,6,1,1,"sc/ui_arena.sc","arena_08","arena_08",,40,100,60,"PvP_ice","TeamVsTeam_ice",200,16,,
"Arena9","TID_ARENA9","TID_INFO_ARENA9",9,"Arena9","Arena9","TRUE",,,2600,2550,,350,280,30,6,1,1,"sc/ui_arena.sc","arena_09","arena_09",,40,100,60,"PvP_jungle","TeamVsTeam_jungle",220,18,"2017-01-13",
"Arena_T","TID_ARENA_T","TID_INFO_ARENA_T",11,"Arena_T","Arena_T","TRUE",,,3800,3750,,410,320,40,8,1,1,"sc/ui_arena.sc","arena_champion","arena_champion",,40,200,60,"PvP_champion","TeamVsTeam_champion",260,22,,
"Arena_L1","TID_ARENA_L1","TID_INFO_ARENA_L1",12,"Arena_T","Arena_T","TRUE",,,4000,4000,4000,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_001","league_badge_arena_001","league_list_icon_001",40,200,60,"PvP_champion",,260,24,,"SeasonReward_L1"
"Arena_L2","TID_ARENA_L2","TID_INFO_ARENA_L2",13,"Arena_T","Arena_T","TRUE",,,4300,4300,4000,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_002","league_badge_arena_002","league_list_icon_002",40,200,60,"PvP_champion",,260,26,,"SeasonReward_L2"
"Arena_L3","TID_ARENA_L3","TID_INFO_ARENA_L3",14,"Arena_T","Arena_T","TRUE",,,4600,4600,4000,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_003","league_badge_arena_003","league_list_icon_003",40,200,60,"PvP_champion",,260,28,,"SeasonReward_L3"
"Arena_L4","TID_ARENA_L4","TID_INFO_ARENA_L4",15,"Arena_T","Arena_T","TRUE",,,4900,4900,4300,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_004","league_badge_arena_004","league_list_icon_004",40,200,60,"PvP_champion",,260,30,,"SeasonReward_L4"
"Arena_L5","TID_ARENA_L5","TID_INFO_ARENA_L5",16,"Arena_T","Arena_T","TRUE",,,5200,5200,4300,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_005","league_badge_arena_005","league_list_icon_005",40,200,60,"PvP_champion",,260,32,,"SeasonReward_L5"
"Arena_L6","TID_ARENA_L6","TID_INFO_ARENA_L6",17,"Arena_T","Arena_T","TRUE",,,5500,5500,4300,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_006","league_badge_arena_006","league_list_icon_006",40,200,60,"PvP_champion",,260,34,,"SeasonReward_L6"
"Arena_L7","TID_ARENA_L7","TID_INFO_ARENA_L7",18,"Arena_T","Arena_T","TRUE",,,5800,5800,4600,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_007","league_badge_arena_007","league_list_icon_007",40,200,60,"PvP_champion",,260,36,,"SeasonReward_L7"
"Arena_L8","TID_ARENA_L8","TID_INFO_ARENA_L8",19,"Arena_T","Arena_T","TRUE",,,6100,6100,4600,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_008","league_badge_arena_008","league_list_icon_008",40,200,60,"PvP_champion",,260,38,,"SeasonReward_L8"
"Arena_L9","TID_ARENA_L9","TID_INFO_ARENA_L9",20,"Arena_T","Arena_T","TRUE",,,6400,6400,4600,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_009","league_badge_arena_009","league_list_icon_009",40,200,60,"PvP_champion",,260,40,,"SeasonReward_L9"
"ArenaPvE","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,"TrainingCamp","TrainingCamp","TRUE","TRUE","TRUE",0,0,,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00","arena_00",,0,100,60,"PvE_training",,,,,
"ArenaTvE","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,"TrainingCamp","TrainingCamp","TRUE","TRUE","TRUE",0,0,,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00","arena_00",,0,100,60,"TvE_training",,,,,
