"Name","Chest"
"String","String"
"MainCycle","Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Giant"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Giant"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Giant"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Magic"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Giant"
,"Silver"
,"Silver"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
,"Silver"
,"Gold"
,"Silver"
