"Name","FileName","ExportName","Layer","LowendLayer","ShadowScale","ShadowX","ShadowY","ShadowSkew","CollisionRadius","Effect","AssetMinTrophy","AssetMinTrophyScore","AssetMinTrophyFileName","SortValue"
"string","string","string","string","string","int","int","int","int","int","string","string","int","string","int"
"Grassland_rock1","sc/effects.sc","Grassland_1x1_rock1","Object","Ground",63,-5,5,12,,,,,,
"Grassland_rock2","sc/effects.sc","Grassland_2x2_rock2","Object","Ground",88,-3,-5,,,,,,,
"Grassland_rock3","sc/effects.sc","Grassland_1x1_rock3","Object","Ground",71,-4,1,,,,,,,
"Grassland_bush1","sc/effects.sc","Grassland_1x1_bush1","Object","Ground",91,-4,-8,28,,,,,,
"WoodWall_single_2","sc/effects.sc","Grassland_1x1_bush1","Object","Ground",91,-4,-8,28,,,,,,
"royal_red_deco","sc/level_royal_arena.sc","royal_red_deco","Object","Ground",61,,5,22,,,,,,
"royal_blue_deco","sc/level_royal_arena.sc","royal_blue_deco","Object","Ground",67,2,2,31,,,,,,
"royal_bucket","sc/level_royal_arena.sc","royal_bucket","Object","Ground",94,-5,73,6,,,,,,
"royal_red_endwall1","sc/level_royal_arena.sc","royal_red_endwall1","Object","Ground",95,,-48,4,,,,,,
"royal_red_tower1","sc/level_royal_arena.sc","royal_red_tower1","Object","Ground",95,,,37,,,,,,
"royal_red_tower2","sc/level_royal_arena.sc","royal_red_tower2","Object","Ground",95,,-32,18,,,,,,
"royal_red_wall_middle","sc/level_royal_arena.sc","royal_red_wall_middle","Object","Ground",100,21,-88,26,,,,,,
"royal_mid_tower","sc/level_royal_arena.sc","royal_mid_tower","Object","Ground",95,-8,76,14,,,,,,
"royal_red_endwall2","sc/level_royal_arena.sc","royal_red_endwall2","Object","Ground",95,35,-48,59,,,,,,
"royal_blue_endwall1","sc/level_royal_arena.sc","royal_blue_endwall1","Object","Ground",96,-12,59,24,,,,,,
"royal_blue_endwall2","sc/level_royal_arena.sc","royal_blue_endwall2","Object","Ground",95,-13,72,11,,,,,,
"royal_blue_roof_left","sc/level_royal_arena.sc","royal_blue_roof_left","Object","Ground",95,-28,-139,,,,,,,
"royal_blue_roof_right","sc/level_royal_arena.sc","royal_blue_roof_right","Object","Ground",95,-4,-112,11,,,,,,
"royal_blue_tower1","sc/level_royal_arena.sc","royal_blue_tower1","Object","Ground",95,2,11,10,,,,,,
"royal_blue_tower2","sc/level_royal_arena.sc","royal_blue_tower2","Object","Ground",94,24,-111,53,,,,,,
"royal_blue_wall_middle","sc/level_royal_arena.sc","royal_blue_wall_middle","Object","Ground",95,-7,43,42,,,,,,
"royal_red_roof_left","sc/level_royal_arena.sc","royal_red_roof_left","Object","Ground",95,3,-151,33,,,,,,
"royal_red_roof_right","sc/level_royal_arena.sc","royal_red_roof_right","Object","Ground",95,-9,-146,,,,,,,
"royal_sidestand_left","sc/level_royal_arena.sc","royal_sidestand_left","Object","Ground",95,-29,147,8,,,,,,
"royal_sidestand_right","sc/level_royal_arena.sc","royal_sidestand_right","Object","Ground",84,-35,112,1,,,,,,
"royal_blocktree","sc/level_royal_arena.sc","royal_blocktree","Object","Ground",95,-6,-6,29,,,,,,
"royal_bush1x","sc/level_royal_arena.sc","royal_bush1x","Object","Ground",95,-3,-5,25,,,,,,
"royal_base_top_2v2","sc/level_royal_arena.sc","royal_base_top_2v2","Base","Ground",,,,,,,,,,
"royal_base_bottom_2v2","sc/level_royal_arena.sc","royal_base_bottom_2v2","Base","Ground",,,,,,,,,,
"goblin_roofshade_left_blue","sc/level_goblin_arena.sc","goblin_roofshade_left_blue","Object","Ground",95,-6,-6,,,,,,,
"goblin_roofshade_left_red","sc/level_goblin_arena.sc","goblin_roofshade_left_red","Object","Ground",95,-6,-6,,,,,,,
"goblin_roofshade_right_blue","sc/level_goblin_arena.sc","goblin_roofshade_right_blue","Object","Ground",95,-6,-6,,,,,,,
"goblin_roofshade_right_red","sc/level_goblin_arena.sc","goblin_roofshade_right_red","Object","Ground",95,-6,-6,,,,,,,
"goblin_sharp1","sc/level_goblin_arena.sc","goblin_sharp1","Object","Ground",95,-6,-6,,,,,,,
"goblin_sharp3","sc/level_goblin_arena.sc","goblin_sharp3","Object","Ground",95,-6,-6,,,,,,,
"goblin_sidestand_left","sc/level_goblin_arena.sc","goblin_sidestand_left","Object","Ground",95,-6,-6,,,,,,,
"goblin_sidestand_right","sc/level_goblin_arena.sc","goblin_sidestand_right","Object","Ground",95,-6,-6,,,,,,,
"goblin_stone1","sc/level_goblin_arena.sc","goblin_stone1","Object","Ground",95,-6,-6,,,,,,,
"goblin_stone2","sc/level_goblin_arena.sc","goblin_stone2","Object","Ground",95,-6,-6,,,,,,,
"goblin_waterwheel","sc/level_goblin_arena.sc","goblin_waterwheel","Object","Ground",95,10,-41,21,,,,,,
"goblin_woodpole1","sc/level_goblin_arena.sc","goblin_woodpole1","Object","Ground",95,-6,-6,,,,,,,
"goblin_woodtower1","sc/level_goblin_arena.sc","goblin_woodtower1","Object","Ground",95,-6,-6,,,,,,,
"goblin_woodtower2","sc/level_goblin_arena.sc","goblin_woodtower2","Object","Ground",95,2,-23,44,,,,,,
"goblin_woodwall1","sc/level_goblin_arena.sc","goblin_woodwall1","Object","Ground",95,-6,-6,,,,,,,
