"Name","RequiredSets","OptionalSets"
"String","String","String"
"Draft_v1","Draft_AllRandom","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"TEST_Draft_balance_test","TEST_Draft_All_live_cards","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"TEST_Draft_new_cards_test","TEST_Draft_New_cards","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"TEST_Draft_new_cards_daily_test","TEST_Draft_New_cards_daily","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
