Name,Spells,PositionX,PositionY,Delay
String,String,int,int,int
SparkyGiant,Giant,5,12,100
,ZapMachine,5,10,100
Hogs,HogRider,7,20,100
,HogRider,28,10,100
DoubleHogs,HogRider,7,15,100
,HogRider,28,10,170
,HogRider,15,13,290
,HogRider,20,11,380
Lightning,Lightning,15,50,100
,IceSpirits,5,5,100
Skarmy,SkeletonArmy,7,10,100
,SkeletonArmy,28,10,100
,SkeletonArmy,14,15,100
,SkeletonArmy,17,13,100
HogFreeze,HogRider,6,26,100
,Freeze,10,44,200
RageBalloon,Balloon,28,28,100
AngryBarbarians,AngryBarbarians,7,10,100
,AngryBarbarians,28,10,100
,AngryBarbarians,7,10,100
,AngryBarbarians,28,10,100
,AngryBarbarians,7,10,100
,AngryBarbarians,28,10,100
,Rage,7,10,100
,Rage,28,10,100
,Rage,7,24,140
,Rage,28,24,140
,Rage,7,40,190
,Rage,28,40,190
,Rage,17,50,240
NightW,Goblins,7,10,100
,Bats,7,14,150
,Minions,28,18,200
Princess,Princess,18,36,140
Princesses,Princess,18,36,140
,Princess,2,38,220
,Princess,34,22,280
,Princess,12,40,320
Archers,Archer,16,18,100
,Archer,18,34,200
PEKKA,Pekka,6,28,100
PEKKASKELLY,Pekka,6,28,100
,Goblins,6,26,500
,Skeletons,28,26,500
BirdPlane,IceSpirits,5,5,100
,Rocket,17,47,130
,GoblinBarrel,17,62,130
HipsterBarrel,IceSpirits,5,5,220
,GoblinBarrel,17,62,120
,GoblinBarrel,0,62,220
,GoblinBarrel,17,62,270
Boss1Def,Tombstone,16,18,0
Boss1Hogs,HogRider,6,18,50
,IceSpirits,8,16,60
Boss1FunkTown,Barbarians,6,16,0
,RoyalGiant,22,14,200
Nothing,,,,
TutorialDefendIntro,Skeletons,7,15,0
,Goblins,12,12,1
TutorialDefendLeft,Skeletons,7,15,0
TutorialDefendRight,Skeletons,20,15,0
TutorialGoblins,Goblins,8,14,0
TutorialKnight,Knight,12,14,0
Tutorial2WaveHard,Knight,12,16,0
,Archer,12,16,60
